state,rice_total,wheat_total,total,rice_percent,wheat_percent,team
Andhra Pradesh ,19.781,0.966,20.747,95.34390514,4.656094857,rice
Arunachal Pradesh ,22.414,1.031,23.445,95.60247388,4.397526125,rice
Assam ,21.443,1.304,22.747,94.26737592,5.732624082,rice
Bihar ,11.41,11.096,22.506,50.69759175,49.30240825,rice
Chhattisgarh ,19.949,3.01,22.959,86.8896729,13.1103271,rice
Delhi  ,3.524,11.551,15.075,23.37645108,76.62354892,roti
Goa,12.413,3.35,15.763,78.74770031,21.25229969,rice
Gujarat ,3.877,8.692,12.569,30.84573156,69.15426844,roti
Haryana ,1.776,15.75,17.526,10.13351592,89.86648408,roti
Himachal Pradesh ,8.209,12.244,20.453,40.13592138,59.86407862,roti
Jammu & Kashmir  ,15.734,6.676,22.41,70.2097278,29.7902722,rice
Jharkhand  ,14.554,7.129,21.683,67.12170825,32.87829175,rice
Karnataka  ,10.835,2.082,12.917,83.88170628,16.11829372,rice
Kerala  ,13.979,1.613,15.592,89.65495126,10.34504874,rice
Madhya Pradesh  ,4.07,16.334,20.404,19.9470692,80.0529308,roti
Maharashtra  ,6.183,8.458,14.641,42.23072195,57.76927805,roti
Manipur ,27.072,0.041,27.113,99.84878103,0.151218972,rice
Meghalaya ,18.825,0.621,19.446,96.80654119,3.193458809,rice
Mizoram ,24.161,0.37,24.531,98.49170437,1.508295626,rice
Nagaland ,25.644,0.129,25.773,99.4994762,0.500523804,rice
Odisha ,20.939,2.425,23.364,89.62078411,10.37921589,rice
Punjab ,2.013,15.253,17.266,11.6587513,88.3412487,roti
Rajasthan ,0.818,18.232,19.05,4.293963255,95.70603675,roti
Sikkim ,16.715,1.53,18.245,91.61414086,8.385859139,rice
Tamil Nadu ,15.941,1.256,17.197,92.69640053,7.303599465,rice
Tripura ,24.734,0.583,25.317,97.69719951,2.30280049,rice
Uttar Pradesh ,6.898,13.703,20.601,33.48381147,66.51618853,roti
Uttarakhand ,8.997,13.34,22.337,40.27846175,59.72153825,roti
West Bengal ,16.166,3.631,19.797,81.6588372,18.3411628,rice
