year,country_code,country_name,monthly_wages,hour_wages
1989,MMR,Myanmar,20.65887451,0.136803314
1989,IND,India,39.63212585,0.200910926
1989,CYP,Cyprus,545.1264648,3.256664753
1989,BEL,Belgium,906.6730957,5.248539448
1989,AUT,Austria,913.6555786,5.271086693
1989,ITA,Italy,969.4358521,5.736305714
1989,DEU,Germany,1328.243286,7.696188927
1991,MMR,Myanmar,15.92842197,0.105478212
1991,IND,India,28.9948616,0.14698641
1991,CYP,Cyprus,705.454895,4.100012779
1991,BEL,Belgium,1137.841064,6.58672905
1991,AUT,Austria,1151.259033,6.641877651
1991,ITA,Italy,1198.017212,7.088857651
1991,DEU,Germany,1602.992554,9.288155556
1993,MMR,Myanmar,12.70130825,0.084108204
1993,IND,India,24.62962151,0.12050166
1993,CYP,Cyprus,651.9489746,3.781852961
1993,ITA,Italy,1129.095337,6.681035042
1993,BEL,Belgium,1214.672363,7.03148222
1993,AUT,Austria,1262.130127,7.281522274
1993,DEU,Germany,1719.991211,9.966076851
1995,MMR,Myanmar,9.437211037,0.062493324
1995,IND,India,39.1891861,0.191735044
1995,CYP,Cyprus,781.6318359,4.442772865
1995,ITA,Italy,1110.227661,6.569392681
1995,BEL,Belgium,1461.067505,8.457819939
1995,AUT,Austria,1549.108521,8.937167168
1995,DEU,Germany,2105.156494,12.1978302
1997,MMR,Myanmar,6.23028183,0.041256998
1997,IND,India,24.63747978,0.120222792
1997,CYP,Cyprus,816.9712524,4.884243965
1997,ITA,Italy,1167.847778,6.910339355
1997,BEL,Belgium,1238.788086,7.171090126
1997,AUT,Austria,1332.214355,7.685851097
1997,DEU,Germany,1850.337524,10.7213335
1999,MMR,Myanmar,2.3831985,0.015781568
1999,IND,India,23.01025772,0.112282477
1999,CYP,Cyprus,722.4194946,4.199298859
1999,ITA,Italy,1128.576782,6.677966595
1999,BEL,Belgium,1207.143921,7.167081356
1999,AUT,Austria,1308.475952,7.548899174
1999,DEU,Germany,1816.638306,10.52606869
2001,MMR,Myanmar,7.590224266,0.050262541
2001,IND,India,22.04174995,0.107556492
2001,CYP,Cyprus,686.210144,4.16726923
2001,ITA,Italy,990.2731323,5.859603882
2001,BEL,Belgium,1074.652466,6.38045311
2001,AUT,Austria,1144.112549,6.600651741
2001,DEU,Germany,1556.62146,9.019470215
