Year,Age_Group,Value
2017,Age0-18,476556
2017,Age19-30,286811
2017,Age31-40,199334
2017,Age41-50,156739
2017,Age51-60,117347
2017,Age60-70,73935
2017,Age71-80,32626
2017,Age81-90,9866
2017,Age91-99,952
2017,Age 100+,26
2018,Age0-18,474244
2018,Age19-30,289093
2018,Age31-40,203474
2018,Age41-50,160005
2018,Age51-60,119933
2018,Age60-70,77106
2018,Age71-80,33687
2018,Age81-90,10389
2018,Age91-99,1044
2018,Age 100+,30
2019,Age0-18,471410
2019,Age19-30,291311
2019,Age31-40,207526
2019,Age41-50,163149
2019,Age51-60,122587
2019,Age60-70,80222
2019,Age71-80,34831
2019,Age81-90,10904
2019,Age91-99,1136
2019,Age 100+,34
2020,Age0-18,467867
2020,Age19-30,293746
2020,Age31-40,211482
2020,Age41-50,166394
2020,Age51-60,125237
2020,Age60-70,82862
2020,Age71-80,36241
2020,Age81-90,11303
2020,Age91-99,1217
2020,Age 100+,37
2021,Age0-18,464035
2021,Age19-30,296182
2021,Age31-40,215025
2021,Age41-50,169750
2021,Age51-60,127616
2021,Age60-70,84737
2021,Age71-80,37592
2021,Age81-90,11345
2021,Age91-99,1246
2021,Age 100+,39
